U+325B1	𲖱	amax
U+325B2	𲖲	kfjn
U+325B3	𲖳	kgkp
U+325B4	𲖴	kraw
U+325B5	𲖵	kfto
U+325B6	𲖶	rhdk
U+325B7	𲖷	kadl
U+325B8	𲖸	kkdt
U+325B9	𲖹	kapk
U+325BA	𲖺	exdk
U+325BB	𲖻	kwrb
U+325BC	𲖼	kwko
U+325BD	𲖽	kwgm
U+325BE	𲖾	kwxm
U+325BF	𲖿	ukwk
U+325C0	𲗀	ytfx
U+325C1	𲗁	kutk
U+325C2	𲗂	kctk
U+325C3	𲗃	kbdp
U+325C4	𲗄	kccg
U+325C5	𲗅	kbul
U+325C6	𲗆	kcnm
U+325C7	𲗇	kgco
U+325C8	𲗈	kskw
U+325C9	𲗉	klbn
U+325CA	𲗊	kawk
U+325CB	𲗋	klfj
U+325CC	𲗌	khab
U+325CD	𲗍	klkk
U+325CE	𲗎	kjsq
U+325CF	𲗏	lvrk
U+325D0	𲗐	khgh
U+325D1	𲗑	kaiy
U+325D2	𲗒	kipw
U+325D3	𲗓	kycd
U+325D4	𲗔	koyf
U+325D5	𲗕	kufk
U+325D6	𲗖	kbtp
U+325D7	𲗗	kaho
U+325D8	𲗘	kssi
U+325D9	𲗙	kfwo
U+325DA	𲗚	kftp
U+325DB	𲗛	kgnl
U+325DC	𲗜	kmdy
U+325DD	𲗝	dfet
U+325DE	𲗞	khgm
U+325DF	𲗟	kajj
U+325E0	𲗠	kaos
U+325E1	𲗡	kwyf
U+325E2	𲗢	errd
U+325E3	𲗣	kpdi
U+325E4	𲗤	kput
U+325E5	𲗥	kyjs
U+325E6	𲗦	knfn
U+325E7	𲗧	kxdi
U+325E8	𲗨	fkut
U+325E9	𲗩	krqy
U+325EA	𲗪	kgkm
U+325EB	𲗫	kfjn
U+325EC	𲗬	krks
U+325ED	𲗭	ksfy
U+325EE	𲗮	fkun
U+325EF	𲗯	kawo
U+325F0	𲗰	kmtt
U+325F1	𲗱	kavj
U+325F2	𲗲	kalh
U+325F3	𲗳	wywk
U+325F4	𲗴	ktre
U+325F5	𲗵	kqtj
U+325F6	𲗶	ygkx
U+325F7	𲗷	kook
U+325F8	𲗸	kyak
U+325F9	𲗹	kyud
U+325FA	𲗺	knay
U+325FB	𲗻	knkf
U+325FC	𲗼	kcuj
U+325FD	𲗽	kgif
U+325FE	𲗾	kdjf
U+325FF	𲗿	kfjh
U+32600	𲘀	kcos
U+32601	𲘁	kuid
U+32602	𲘂	khan
U+32603	𲘃	kqtc
U+32604	𲘄	oamx
U+32605	𲘅	kolw
U+32606	𲘆	kytf
U+32607	𲘇	koso
U+32608	𲘈	kbvl
U+32609	𲘉	kdno
U+3260A	𲘊	kllf
U+3260B	𲘋	kjom
U+3260C	𲘌	kavt
U+3260D	𲘍	ksgo
U+3260E	𲘎	kgqt
U+3260F	𲘏	emgk
U+32610	𲘐	kyuy
U+32611	𲘑	kccm
U+32612	𲘒	ksfj
U+32613	𲘓	kato
U+32614	𲘔	kerq
U+32615	𲘕	kfnf
U+32616	𲘖	lxwx
U+32617	𲘗	kyac
U+32618	𲘘	kyxx
U+32619	𲘙	kaqo
U+3261A	𲘚	kaal
U+3261B	𲘛	kfkw
U+3261C	𲘜	kobn
U+3261D	𲘝	kyxq
U+3261E	𲘞	lnv
U+3261F	𲘟	tlwi
U+32620	𲘠	laqv
U+32621	𲘡	lqry
U+32622	𲘢	ltfq
U+32623	𲘣	lyoi
U+32624	𲘤	lgak
U+32625	𲘥	layn
U+32626	𲘦	ladw
U+32627	𲘧	laqc
U+32628	𲘨	lyom
U+32629	𲘩	lyon
U+3262A	𲘪	lpyh
U+3262B	𲘫	ljgf
