U+31631	𱘱	gady
U+31632	𱘲	dler
U+31633	𱘳	whfd
U+31634	𱘴	gudy
U+31635	𱘵	dykf
U+31636	𱘶	gdnr
U+31637	𱘷	gdwj
U+31638	𱘸	dyvb
U+31639	𱘹	fjfh
U+3163A	𱘺	dwwe
U+3163B	𱘻	rxad
U+3163C	𱘼	dfnv
U+3163D	𱘽	afcd
U+3163E	𱘾	dqot
U+3163F	𱘿	lxxd
U+31640	𱙀	dngm
U+31641	𱙁	vgf
U+31642	𱙂	vqn
U+31643	𱙃	vbb
U+31644	𱙄	vgng
U+31645	𱙅	vun
U+31646	𱙆	vnuy
U+31647	𱙇	vwxn
U+31648	𱙈	vtfh
U+31649	𱙉	wbvf
U+3164A	𱙊	ngvg
U+3164B	𱙋	vhnt
U+3164C	𱙌	vlg
U+3164D	𱙍	vcfg
U+3164E	𱙎	gogv
U+3164F	𱙏	vlvg
U+31650	𱙐	veg
U+31651	𱙑	vyjh
U+31652	𱙒	vubg
U+31653	𱙓	vpgf
U+31654	𱙔	vgod
U+31655	𱙕	vjfg
U+31656	𱙖	vwwk
U+31657	𱙗	vueg
U+31658	𱙘	icvf
U+31659	𱙙	vvoy
U+3165A	𱙚	vewy
U+3165B	𱙛	vykb
U+3165C	𱙜	nxvb
U+3165D	𱙝	vkbg
U+3165E	𱙞	vhag
U+3165F	𱙟	vufj
U+31660	𱙠	vgef
U+31661	𱙡	vath
U+31662	𱙢	vrev
U+31663	𱙣	vmth
U+31664	𱙤	vaws
U+31665	𱙥	vyon
U+31666	𱙦	vcex
U+31667	𱙧	vhag
U+31668	𱙨	vanh
U+31669	𱙩	vtlt
U+3166A	𱙪	vpdk
U+3166B	𱙫	vpgw
U+3166C	𱙬	vcff
U+3166D	𱙭	vdwy
U+3166E	𱙮	vaes
U+3166F	𱙯	vday
U+31670	𱙰	vyke
U+31671	𱙱	vbxg
U+31672	𱙲	hdhv
U+31673	𱙳	gvhy
U+31674	𱙴	vakw
U+31675	𱙵	bmh
U+31676	𱙶	dybf
U+31677	𱙷	bmy
U+31678	𱙸	bmwy
U+31679	𱙹	bbmh
U+3167A	𱙺	bbwx
U+3167B	𱙻	gobg
U+3167C	𱙼	fwwb
U+3167D	𱙽	bamw
U+3167E	𱙾	ftbn
U+3167F	𱙿	bpge
U+31680	𱚀	bflg
U+31681	𱚁	bujn
U+31682	𱚂	pbij
U+31683	𱚃	pghu
U+31684	𱚄	pbnb
U+31685	𱚅	pekf
U+31686	𱚆	pdhx
U+31687	𱚇	pmu
U+31688	𱚈	pbgf
U+31689	𱚉	pjsu
U+3168A	𱚊	pmgk
U+3168B	𱚋	prtf
U+3168C	𱚌	pxgi
U+3168D	𱚍	pktv
U+3168E	𱚎	pufj
U+3168F	𱚏	pcou
U+31690	𱚐	pwyc
U+31691	𱚑	rhfg
U+31692	𱚒	pfgf
U+31693	𱚓	pntj
U+31694	𱚔	penn
U+31695	𱚕	pvfj
U+31696	𱚖	phgi
U+31697	𱚗	ptgo
U+31698	𱚘	pqab
U+31699	𱚙	pntj
U+3169A	𱚚	pnhk
U+3169B	𱚛	nweq
U+3169C	𱚜	ptha
U+3169D	𱚝	wvfu
U+3169E	𱚞	rfu
U+3169F	𱚟	hcfy
U+316A0	𱚠	dmjf
U+316A1	𱚡	awyf
U+316A2	𱚢	ecmf
U+316A3	𱚣	itqy
U+316A4	𱚤	ibmj
U+316A5	𱚥	iuft
U+316A6	𱚦	idmd
U+316A7	𱚧	gqqp
U+316A8	𱚨	idph
U+316A9	𱚩	ifti
U+316AA	𱚪	itty
U+316AB	𱚫	itty
U+316AC	𱚬	idqq
U+316AD	𱚭	yupy
U+316AE	𱚮	ahty
U+316AF	𱚯	gqeq
U+316B0	𱚰	nfk
U+316B1	𱚱	nfi
U+316B2	𱚲	nghi
U+316B3	𱚳	nite
U+316B4	𱚴	nnhf
U+316B5	𱚵	nrwi
U+316B6	𱚶	nekd
U+316B7	𱚷	nwnn
U+316B8	𱚸	nyei
U+316B9	𱚹	nyeg
U+316BA	𱚺	nevd
U+316BB	𱚻	ntti
U+316BC	𱚼	nsjg
U+316BD	𱚽	nndq
U+316BE	𱚾	nbma
U+316BF	𱚿	niel
U+316C0	𱛀	nyun
U+316C1	𱛁	ntff
U+316C2	𱛂	ntfi
U+316C3	𱛃	nugg
U+316C4	𱛄	gbnb
U+316C5	𱛅	jmh
U+316C6	𱛆	mbj
U+316C7	𱛇	mgng
U+316C8	𱛈	fcmj
U+316C9	𱛉	mdbn
U+316CA	𱛊	mmqb
U+316CB	𱛋	mmwy
U+316CC	𱛌	mwbr
U+316CD	𱛍	mwxn
U+316CE	𱛎	mqrr
U+316CF	𱛏	mtay
U+316D0	𱛐	mxhj
U+316D1	𱛑	mmwy
U+316D2	𱛒	mbnb
U+316D3	𱛓	mdxy
U+316D4	𱛔	mfcu
U+316D5	𱛕	mdmh
U+316D6	𱛖	mlj
U+316D7	𱛗	mhng
U+316D8	𱛘	mrcy
U+316D9	𱛙	mtni
U+316DA	𱛚	mtet
U+316DB	𱛛	rgmh
U+316DC	𱛜	mdhf
U+316DD	𱛝	mgog
U+316DE	𱛞	mawy
U+316DF	𱛟	mddy
U+316E0	𱛠	mdoy
U+316E1	𱛡	mdfn
U+316E2	𱛢	mkkf
U+316E3	𱛣	miff
U+316E4	𱛤	mldy
