U+36F8	㛸	vfku
U+36F9	㛹	vwgr
U+36FA	㛺	vujg
U+36FB	㛻	vdff
U+36FC	㛼	vtfe
U+36FD	㛽	vpoy
U+36FE	㛾	vdgy
U+36FF	㛿	vgkh
U+3700	㜀	vshg
U+3701	㜁	vsjg
U+3702	㜂	fffv
U+3703	㜃	vwyg
U+3704	㜄	vwtj
U+3705	㜅	vyxl
U+3706	㜆	vopy
U+3707	㜇	vffn
U+3708	㜈	cnhv
U+3709	㜉	vvkc
U+370A	㜊	vnae
U+370B	㜋	vuwl
U+370C	㜌	fpgc
U+370D	㜍	vovk
U+370E	㜎	vexd
U+370F	㜏	vkmy
U+3710	㜐	vmgu
U+3711	㜑	igev
U+3712	㜒	veah
U+3713	㜓	vawk
U+3714	㜔	vukq
U+3715	㜕	vlpy
U+3716	㜖	vgmj
U+3717	㜗	vcce
U+3718	㜘	vhag
U+3719	㜙	vonx
U+371A	㜚	vpwj
U+371B	㜛	vlqw
U+371C	㜜	vgqt
U+371D	㜝	vwyg
U+371E	㜞	lrvf
U+371F	㜟	vnbt
U+3720	㜠	vmwy
U+3721	㜡	vtwh
U+3722	㜢	vlvg
U+3723	㜣	vqdo
U+3724	㜤	vsjf
U+3725	㜥	vlmy
U+3726	㜦	vvaf
U+3727	㜧	vduw
U+3728	㜨	vnig
U+3729	㜩	vtmd
U+372A	㜪	usrv
U+372B	㜫	vtmt
U+372C	㜬	vqdy
U+372D	㜭	vipl
U+372E	㜮	vahl
U+372F	㜯	vaho
U+3730	㜰	vrxs
U+3731	㜱	vrrm
U+3732	㜲	vyny
U+3733	㜳	vyle
U+3734	㜴	valh
U+3735	㜵	vyce
U+3736	㜶	vqky
U+3737	㜷	xgwv
U+3738	㜸	awnv
U+3739	㜹	vhhy
U+373A	㜺	vtfm
U+373B	㜻	vyxn
U+373C	㜼	vccg
U+373D	㜽	vbf
U+373E	㜾	bwjh
U+373F	㜿	bcnh
U+3740	㝀	xbg
U+3741	㝁	qjbf
U+3742	㝂	brrh
U+3743	㝃	bqkq
U+3744	㝄	ykbn
U+3745	㝅	fpgc
U+3746	㝆	bfkk
U+3747	㝇	ykbb
U+3748	㝈	yxxb
U+3749	㝉	pgf
U+374A	㝊	pcu
U+374B	㝋	pbj
U+374C	㝌	pqyu
U+374D	㝍	pgng
U+374E	㝎	ppu
U+374F	㝏	pwjj
U+3750	㝐	pwcu
U+3751	㝑	pyr
U+3752	㝒	pdf
U+3753	㝓	pwgk
U+3754	㝔	pywr
U+3755	㝕	pncu
U+3756	㝖	pqqu
U+3757	㝗	pyve
U+3758	㝘	pyf
U+3759	㝙	pggw
U+375A	㝚	pthp
U+375B	㝛	pwgw
U+375C	㝜	pajf
U+375D	㝝	pssu
